obsECIx,obsECIy,obsECIz,jdHistory,obsRelx,obsRely,obsRelz,sunPosIx,sunPosIy,sunPosz
-5303304.989111043,-179836.7446265651,3538819.934458529,2458536.223961125,29673917.64764272,-23743285.73929283,3566428.458504348,131260987078.8051,-62623560658.27419,-27147291066.01887
-5303239.093172535,-181772.6977791458,3538819.774692916,2458536.224018995,29682568.95984206,-23732473.22957176,3566438.643580981,131261058217.4924,-62623438960.29713,-27147238307.42414
-5303172.490846622,-183708.6423074468,3538819.613633648,2458536.224076866,29691216.33074581,-23721657.5826381,3566448.823694935,131261129356.6144,-62623317261.28408,-27147185548.38037
-5303105.182667951,-185644.5624233456,3538819.451282021,2458536.224134736,29699859.75867952,-23710838.78439778,3566458.998846132,131261200495.6063,-62623195562.20058,-27147132789.30613
-5303037.168645467,-187580.4578694876,3538819.287638055,2458536.224192607,29708499.24249507,-23700016.83628793,3566469.169033221,131261271634.4584,-62623073863.06367,-27147080030.20881
-5302968.449343715,-189516.3128201156,3538819.122703108,2458536.224250477,29717134.78048936,-23689191.72417765,3566479.334256185,131261342772.609,-62622952164.83398,-27147027271.50485
-5302899.024229075,-191452.1425480579,3538818.95647589,2458536.224308347,29725766.37205806,-23678363.46503511,3566489.494512364,131261413911.1991,-62622830465.55976,-27146974512.34814
-5302828.89274116,-193387.9624412281,3538818.788955065,2458536.224366218,29734394.01662424,-23667532.07594392,3566499.649799048,131261485049.6515,-62622708766.22863,-27146921753.16684
-5302758.056017265,-195323.7411060948,3538818.620143349,2458536.224424088,29743017.71191388,-23656697.52720669,3566509.800117584,131261556187.3994,-62622587067.80971,-27146868994.38107
-5302686.512930275,-197259.5093438334,3538818.45003806,2458536.224481958,29751637.45791802,-23645859.85132113,3566519.945463917,131261627325.5859,-62622465368.34797,-27146816235.14329
-5302614.264055133,-199195.2513677482,3538818.278640567,2458536.224539829,29760253.25292624,-23635019.03419753,3566530.085838047,131261698463.6423,-62622343668.81585,-27146763475.87507
-5302541.309990993,-201130.9513533532,3538818.105952286,2458536.224597699,29768865.09520452,-23624175.06170875,3566540.221240021,131261769600.9884,-62622221970.20608,-27146710717.00677
-5302467.64957413,-203066.6401778359,3538817.931970461,2458536.22465557,29777472.98478238,-23613327.96642978,3566550.351665711,131261840738.775,-62622100270.55016,-27146657957.68503
-5302393.283398213,-205002.3020165013,3538817.756696504,2458536.22471344,29786076.9199325,-23602477.73423412,3566560.477115164,131261911876.4306,-62621978570.82542,-27146605198.33352
-5302318.212079699,-206937.9210455362,3538817.580131856,2458536.22477131,29794676.89890543,-23591624.35099659,3566570.59758845,131261983013.377,-62621856872.02139,-27146552439.38123
-5302242.434421097,-208873.528140831,3538817.402273706,2458536.224829181,29803272.92176632,-23580767.84929205,3566580.71308139,131262054150.7629,-62621735172.17284,-27146499679.97619
-5302165.951033381,-210809.1074783546,3538817.223123494,2458536.224887051,29811864.98677239,-23569908.21499596,3566590.823594058,131262125288.0157,-62621613472.25906,-27146446920.54295
