q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
0.077326,0.00086632,0.31115,0.94721,0.63134,-0.046496,0.14772,0.00092065,-0.0017121,-0.0051299
0.0808,-0.0015074,0.29864,0.95094,0.60466,-0.05115,0.15357,0.00089859,-0.0017277,-0.005128
0.084217,-0.0039343,0.28608,0.95449,0.57795,-0.055725,0.15944,0.00087635,-0.0017429,-0.0051261
0.087575,-0.0064125,0.27346,0.95787,0.5512,-0.060218,0.16531,0.00085392,-0.0017576,-0.0051242
0.090873,-0.0089403,0.2608,0.96107,0.52441,-0.064628,0.1712,0.00083132,-0.001772,-0.0051223
0.094109,-0.011516,0.24808,0.96409,0.49759,-0.068952,0.17709,0.00080854,-0.001786,-0.0051205
0.09728,-0.014137,0.23532,0.96693,0.47074,-0.073188,0.18298,0.00078559,-0.0017996,-0.0051187
0.10039,-0.016802,0.22252,0.9696,0.44384,-0.077333,0.18887,0.00076248,-0.0018128,-0.0051169
0.10342,-0.019508,0.20967,0.97209,0.41691,-0.081386,0.19476,0.00073922,-0.0018256,-0.0051152
0.10639,-0.022254,0.19678,0.9744,0.38995,-0.085344,0.20065,0.00071579,-0.001838,-0.0051136
0.10929,-0.025038,0.18386,0.97654,0.36294,-0.089206,0.20652,0.00069222,-0.00185,-0.005112
0.11211,-0.027857,0.1709,0.97849,0.3359,-0.092969,0.21238,0.00066851,-0.0018616,-0.0051104
0.11486,-0.030709,0.15791,0.98027,0.30883,-0.096631,0.21823,0.00064466,-0.0018728,-0.0051088
0.11753,-0.033593,0.14488,0.98187,0.28172,-0.10019,0.22405,0.00062067,-0.0018836,-0.0051074
0.12013,-0.036505,0.13183,0.98329,0.25458,-0.10365,0.22986,0.00059656,-0.001894,-0.0051059
0.12265,-0.039443,0.11875,0.98453,0.2274,-0.107,0.23564,0.00057232,-0.0019039,-0.0051045
0.12508,-0.042406,0.10565,0.98559,0.20019,-0.11024,0.24139,0.00054796,-0.0019134,-0.0051032
0.12744,-0.045391,0.092523,0.98648,0.17294,-0.11338,0.24711,0.0005235,-0.0019225,-0.0051019
0.12971,-0.048395,0.079378,0.98718,0.14566,-0.1164,0.25279,0.00049892,-0.0019312,-0.0051007
0.1319,-0.051416,0.066215,0.98771,0.11836,-0.11932,0.25844,0.00047425,-0.0019395,-0.0050995
