x,y,z,vx,vy,vz
17132894.0689,38527861.9434,23163.7386757,-2809.068557,1249.88607903,-2.34098766084
17118847.5878,38534108.813,23152.0321982,-2809.52384626,1248.86173732,-2.3416033105
17104798.8311,38540350.5605,23140.3226432,-2809.97876196,1247.83722984,-2.34221864876
17090747.8008,38546587.185,23128.6100122,-2810.43330404,1246.81255674,-2.34283367553
17076694.4987,38552818.6858,23116.8943069,-2810.88747243,1245.78771815,-2.34344839074
17062638.9267,38559045.062,23105.1755288,-2811.34126708,1244.76271421,-2.34406279431
17048581.0866,38565266.3127,23093.4536795,-2811.79468793,1243.73754504,-2.34467688614
17034520.9804,38571482.4371,23081.7287605,-2812.24773492,1242.7122108,-2.34529066617
17020458.6099,38577693.4345,23070.0007734,-2812.70040799,1241.68671161,-2.34590413431
17006393.977,38583899.304,23058.2697197,-2813.15270707,1240.66104761,-2.34651729047
16992327.0835,38590100.0447,23046.535601,-2813.60463211,1239.63521894,-2.34713013459
16978257.9313,38596295.6559,23034.7984188,-2814.05618305,1238.60922573,-2.34774266656
16964186.5223,38602486.1367,23023.0581748,-2814.50735983,1237.58306813,-2.34835488633
16950112.8583,38608671.4863,23011.3148705,-2814.95816238,1236.55674626,-2.34896679379
16936036.9413,38614851.7039,22999.5685074,-2815.40859066,1235.53026026,-2.34957838888
16921958.773,38621026.7886,22987.8190871,-2815.85864459,1234.50361028,-2.35018967151
16907878.3554,38627196.7397,22976.0666112,-2816.30832412,1233.47679644,-2.3508006416
16893795.6904,38633361.5563,22964.3110812,-2816.75762919,1232.44981888,-2.35141129906
16879710.7798,38639521.2376,22952.5524987,-2817.20655974,1231.42267775,-2.35202164383
16865623.6254,38645675.7828,22940.7908653,-2817.65511571,1230.39537317,-2.35263167581
16851534.2292,38651825.1911,22929.0261825,-2818.10329704,1229.36790528,-2.35324139492
16837442.5931,38657969.4616,22917.2584519,-2818.55110368,1228.34027422,-2.35385080109
16823348.7188,38664108.5936,22905.487675,-2818.99853555,1227.31248013,-2.35445989424
16809252.6083,38670242.5861,22893.7138535,-2819.44559261,1226.28452315,-2.35506867428
16795154.2635,38676371.4385,22881.9369888,-2819.89227479,1225.2564034,-2.35567714113
16781053.6862,38682495.1499,22870.1570826,-2820.33858204,1224.22812102,-2.35628529471
16766950.8783,38688613.7195,22858.3741364,-2820.78451429,1223.19967617,-2.35689313494
16752845.8417,38694727.1464,22846.5881518,-2821.23007149,1222.17106896,-2.35750066175
16738738.5782,38700835.4299,22834.7991303,-2821.67525358,1221.14229953,-2.35810787504
16724629.0898,38706938.5691,22823.0070735,-2822.12006049,1220.11336804,-2.35871477474
16710517.3783,38713036.5633,22811.2119831,-2822.56449217,1219.0842746,-2.35932136077
16696403.4455,38719129.4116,22799.4138604,-2823.00854857,1218.05501936,-2.35992763305
16682287.2934,38725217.1132,22787.6127072,-2823.45222961,1217.02560245,-2.3605335915
16668168.9238,38731299.6673,22775.808525,-2823.89553525,1215.99602401,-2.36113923603
16654048.3387,38737377.0732,22764.0013154,-2824.33846542,1214.96628419,-2.36174456657
16639925.5398,38743449.3299,22752.1910799,-2824.78102007,1213.9363831,-2.36234958304
16625800.5291,38749516.4367,22740.3778201,-2825.22319913,1212.9063209,-2.36295428535
16611673.3084,38755578.3929,22728.5615376,-2825.66500255,1211.87609772,-2.36355867343
16597543.8797,38761635.1975,22716.7422339,-2826.10643027,1210.84571369,-2.3641627472
16583412.2448,38767686.8497,22704.9199106,-2826.54748223,1209.81516896,-2.36476650657
16569278.4055,38773733.3489,22693.0945694,-2826.98815838,1208.78446365,-2.36536995146
16555142.3638,38779774.6941,22681.2662116,-2827.42845865,1207.75359792,-2.36597308181
16541004.1215,38785810.8846,22669.4348391,-2827.86838298,1206.72257188,-2.36657589751
16526863.6806,38791841.9195,22657.6004532,-2828.30793132,1205.69138569,-2.36717839851
16512721.0429,38797867.7982,22645.7630556,-2828.74710362,1204.66003948,-2.36778058471
16498576.2102,38803888.5197,22633.9226479,-2829.1858998,1203.62853338,-2.36838245603
16484429.1845,38809904.0832,22622.0792316,-2829.62431981,1202.59686753,-2.3689840124
16470279.9676,38815914.4881,22610.2328083,-2830.0623636,1201.56504208,-2.36958525374
16456128.5615,38821919.7334,22598.3833796,-2830.50003111,1200.53305715,-2.37018617996
16441974.9679,38827919.8184,22586.530947,-2830.93732228,1199.50091289,-2.370786791
16427819.1889,38833914.7423,22574.6755122,-2831.37423704,1198.46860942,-2.37138708675
16413661.2262,38839904.5042,22562.8170767,-2831.81077535,1197.4361469,-2.37198706716
