t,mApp
5650,28.3199619
5655,28.2668731
5660,28.2173165
5665,28.1709608
5670,28.1275225
5675,28.0867578
5680,28.0484552
5685,27.7571586
5690,27.2134306
5695,26.8591231
5700,26.5977433
5705,26.3919188
5710,26.2232063
5715,26.0811389
5720,25.9621403
5725,25.8628509
5730,25.7752201
5735,25.6973537
5740,25.6278175
5745,25.5655012
5750,25.5095284
5755,25.4591972
5760,25.4139377
5765,25.3732822
5770,25.3368437
5775,25.3042995
5780,25.2753792
5785,25.2498552
5790,25.2275358
5795,25.2082598
5800,25.1918914
5805,25.1783178
5810,25.1674454
5815,25.1591986
5820,25.1535174
5825,25.1503569
5830,25.1496855
5835,25.1514849
5840,25.1557498
5845,25.1624871
5850,25.1717168
5855,25.1834719
5860,25.1969543
5865,25.2105056
5870,25.2266772
5875,25.245539
5880,25.2671782
5885,25.2917007
5890,25.3192345
5895,25.3499319
5900,25.3839743
5905,25.4215769
5910,25.4619498
5915,25.5036686
5920,25.5495404
5925,25.5999318
5930,25.6552853
5935,25.7161386
5940,25.7831525
5945,25.8571485
5950,25.9391635
5955,26.0305289
5960,26.1329917
5965,26.2489039
5970,26.3815352
5975,26.5356183
5980,26.7183721
5985,26.941613
5990,27.2267302
5995,27.6189896
6000,28.0481514
6005,28.0221008
6010,27.9976359
6015,27.9746767
6020,27.9531511
6025,27.9329937
6030,27.9141458
6035,27.8965537
6040,27.9134136
6045,27.9367944
6050,27.961324
6055,27.9870461
6060,28.0140086
6065,28.0422643
6070,28.0718716
6075,28.1028951
6080,28.1354063
6085,28.1694847
6090,28.205219
6095,28.2427083
6100,28.2820635
6105,28.3234096
6110,28.366888
6115,28.4126591
6120,28.4609057
6125,28.511838
6130,28.5656981
6135,28.6227678
6140,28.6833768
6145,28.7479146
6150,28.8168453
6155,28.8355447
6160,28.8267042
6165,28.8185644
6170,28.811119
6175,28.8043626
6180,28.7982913
6185,28.7929021
6190,28.7881932
6195,28.7841639
6200,28.7808143
6205,28.7781458
6210,28.7761605
6215,28.7748616
6220,28.7742532
6225,28.7743404
6230,28.7252495
6235,28.6652675
6240,28.6095135
6245,28.557557
6250,28.5090358
6255,28.4636417
6260,28.4211107
6265,28.3812151
6270,28.3437568
6275,28.308563
6280,28.2754818
6285,28.2443791
6290,28.215136
6295,28.1876467
6300,28.1618167
6305,28.1375614
6310,28.1148045
6315,28.0934776
6320,28.0735186
6325,28.0960879
6330,28.1211817
6335,28.1475748
6340,28.1753239
6345,28.2044919
6350,28.2351479
6355,28.2673692
6360,28.3012413
6365,28.3368596
6370,28.3743312
6375,28.4137761
6380,28.4553299
6385,28.4991459
6390,28.5453991
6395,28.5942893
6400,28.646047
6405,28.7009392
6410,28.7592777
6415,28.8214294
6420,28.8878303
6425,28.9590035
6430,29.0355844
6435,29.0894778
6440,29.0887973
6445,28.4494059
