Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2461.82393029,26486.564351,0.6934652, 68.1243,201.5068,226.9711,208.7963
2464.81485322,26485.887234,0.6934729, 68.1293,201.2288,226.8400,217.3950
2467.80583885,26485.212780,0.6936248, 68.1432,200.9555,226.7091,226.0950
2469.79982638,26484.820319,0.6937969, 68.1463,200.7688,226.6237,231.9202
2477.77618267,26483.893543,0.6940523, 68.1358,200.0071,226.2773,255.7936
2479.77031331,26483.727567,0.6941066, 68.1442,199.8238,226.1879,261.8219
2482.76154844,26483.538978,0.6942994, 68.1544,199.5473,226.0554,270.8791
2488.24565906,26483.554046,0.6946169, 68.1461,199.0250,225.8161,287.5907
2490.73843487,26483.578120,0.6946402, 68.1467,198.7919,225.7034,295.1693
2492.23413239,26483.431160,0.6946682, 68.1535,198.6558,225.6369,299.7233
2494.72695821,26483.193747,0.6948236, 68.1679,198.4306,225.5258,307.2675
2496.22271308,26482.920284,0.6949692, 68.1734,198.2924,225.4623,311.8129
2504.69885342,26481.426376,0.6953361, 68.1682,197.4839,225.0917,337.4804
2506.19461116,26483.488838,0.6953810, 68.1765,197.3456,225.0190,341.9396
2511.18046935,26526.531506,0.6962843, 68.1974,196.8830,224.8072,356.6354
2515.16991302,26445.144001,0.6957536, 68.1800,196.4781,224.5798,  8.8016
2517.66313645,26484.300708,0.6962675, 68.1831,196.2366,224.4897, 16.1844
2522.15009951,26494.168453,0.6966040, 68.2102,195.8273,224.3116, 28.7272
2524.14477375,26494.460547,0.6968478, 68.2163,195.6416,224.2308, 34.5691
2528.13423614,26494.425819,0.6972211, 68.2058,195.2554,224.0680, 46.2514
2530.12912453,26494.410550,0.6973021, 68.2032,195.0640,223.9836, 52.1737
2532.12281151,26494.523038,0.6973778, 68.2081,194.8770,223.8980, 57.1953
2533.12008211,26494.586632,0.6974323, 68.2127,194.7849,223.8553, 60.0030
2536.11205467,26494.831291,0.6977003, 68.2268,194.5082,223.7295, 68.4905
2540.10335936,26494.963163,0.6981547, 68.2262,194.1265,223.5667, 81.1739
2542.09825179,26494.945278,0.6983141, 68.2196,193.9317,223.4847, 86.9504
2546.08789402,26494.973479,0.6984976, 68.2203,193.5509,223.3157, 98.3831
2559.05286234,26494.281803,0.6996819, 68.2225,192.3014,222.7840,134.4578
2562.04612196,26494.129304,0.6999134, 68.2338,192.0179,222.6580,143.8101
2565.03888919,26493.852720,0.7002673, 68.2365,191.7285,222.5365,152.8149
2570.03296516,26493.048659,0.7007045, 68.2146,191.2289,222.3331,172.3709
2576.01869723,26492.224327,0.7010325, 68.2231,190.6507,222.0786,190.8316
2578.01546036,26491.975658,0.7012832, 68.2262,190.4572,221.9982,198.1079
2582.00276294,26491.161551,0.7017315, 68.2041,190.0505,221.8395,208.2377
2584.00013757,26490.747347,0.7018192, 68.1935,189.8471,221.7550,216.0690
2586.98896714,26490.125747,0.7019240, 68.1949,189.5529,221.6243,222.6319
2588.98408633,26489.679768,0.7020675, 68.2008,189.3595,221.5387,228.8932
2596.97019428,26487.892397,0.7027325, 68.1728,188.5525,221.2050,258.3396
2602.95733403,26486.460066,0.7029282, 68.1760,187.9638,220.9383,279.0162
