Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
437.69183012,42149.301897,0.0005351,  4.9558, 68.1477,327.1311, 34.7588
443.67152236,42149.150838,0.0006401,  4.9608, 68.0711,326.0140, 35.7425
447.65780344,42150.560793,0.0006842,  4.9718, 67.9405,333.9227, 27.7614
454.63437545,42149.419674,0.0006141,  4.9841, 67.8985,335.2280, 26.3204
454.63446238,42149.419565,0.0006141,  4.9841, 67.8985,335.2303, 26.3495
457.62426305,42149.933306,0.0006328,  4.9861, 67.8130,333.1990, 28.3148
459.61742015,42150.952535,0.0006705,  4.9901, 67.7331,334.5119, 26.9642
461.61063307,42151.826275,0.0006951,  4.9968, 67.6677,337.8757, 23.5689
461.61063308,42151.826275,0.0006951,  4.9968, 67.6677,337.8757, 23.5689
463.60391319,42151.771887,0.0006829,  5.0042, 67.6394,340.8598, 20.5385
472.57368039,42152.105453,0.0007845,  5.0206, 67.4658,342.2406, 18.9196
477.55696340,42152.485330,0.0007803,  5.0385, 67.3662,349.0664, 11.9804
479.55037895,42152.027465,0.0007501,  5.0430, 67.3611,350.0295, 10.9648
482.54046582,42151.689175,0.0007139,  5.0466, 67.3251,349.2389, 11.6802
484.53386735,42152.098315,0.0007182,  5.0492, 67.2656,348.0556, 12.8467
486.52712189,42153.093032,0.0007502,  5.0539, 67.1874,348.2380, 12.6117
515.72340754,42154.373156,0.0007058,  5.1391, 66.6801,  3.9799,101.2456
519.41928490,42155.874690,0.0007873,  5.1560, 66.6643,  8.3849,351.5123
520.41618380,42155.348848,0.0007662,  5.1590, 66.6760,  8.4210,351.4603
524.40353054,42155.497809,0.0007925,  5.1658, 66.6485,  5.1482,354.6346
526.39709490,42156.539646,0.0008426,  5.1709, 66.5878,  5.8887,353.8495
529.38753711,42157.463358,0.0008786,  5.1828, 66.5216,  9.4091,350.2714
536.36586086,42156.404578,0.0007804,  5.2023, 66.5462, 15.7675,343.7772
538.35941054,42156.609804,0.0007562,  5.2049, 66.5236, 15.2817,344.1460
540.35309890,42157.368948,0.0007591,  5.2088, 66.4779, 14.3492,345.0312
545.33745367,42158.840523,0.0007996,  5.2283, 66.4072, 18.8959,340.3622
547.33138801,42157.790730,0.0007558,  5.2355, 66.4381, 21.2816,337.9268
553.31492210,42158.640501,0.0007896,  5.2453, 66.3990, 16.9573,342.8108
553.31492274,42158.640497,0.0007896,  5.2453, 66.3990, 16.9573,342.8110
561.28866830,42158.967317,0.0007795,  5.2704, 66.3759, 26.1924,332.7048
565.27653367,42158.805153,0.0007053,  5.2741, 66.3780, 27.6411,331.1249
566.27350972,42159.079035,0.0006966,  5.2751, 66.3624, 27.1819,331.5677
566.27350983,42159.079035,0.0006966,  5.2751, 66.3624, 27.1819,331.5677
571.25826726,42161.224499,0.0007327,  5.2881, 66.2691, 27.5700,331.0598
572.25528047,42161.222344,0.0007342,  5.2920, 66.2685, 29.2429,329.3649
572.25536376,42161.223310,0.0007343,  5.2920, 66.2685, 29.2424,329.3955
573.25240943,42160.908276,0.0007241,  5.2956, 66.2778, 31.1704,327.4454
575.24658269,42159.792535,0.0006759,  5.3008, 66.3134, 33.6091,324.9665
581.22851367,42161.343679,0.0007102,  5.3077, 66.2495, 27.2826,331.0864
581.22851368,42161.343678,0.0007102,  5.3077, 66.2495, 27.2826,331.0864
581.22870855,42161.342313,0.0007102,  5.3077, 66.2495, 27.2864,331.1529
586.21391865,42161.858776,0.0007265,  5.3228, 66.2092, 33.3494,324.9896
588.20780359,42161.413645,0.0006961,  5.3264, 66.2290, 36.3234,321.8564
594.19052498,42161.820065,0.0005957,  5.3294, 66.1893, 38.0382,320.1063
596.18461102,42162.807473,0.0006009,  5.3326, 66.1385, 36.6703,321.4365
601.16994658,42163.167938,0.0006090,  5.3473, 66.0977, 42.6568,315.2986
604.16132067,42161.939027,0.0005376,  5.3512, 66.1266, 43.8692,313.9763
