Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2464.81485322,26510.045093,0.6930747, 68.1095,203.0341,226.9123,169.2407
2467.80583885,26509.469244,0.6932154, 68.1230,202.7610,226.7850,175.0067
2469.79982638,26509.034042,0.6933835, 68.1265,202.5751,226.7020,178.8812
2477.77618267,26507.167382,0.6936409, 68.1170,201.8141,226.3690,195.0767
2479.77031331,26506.702567,0.6936860, 68.1259,201.6307,226.2827,199.2464
2482.76154844,26505.991636,0.6938647, 68.1379,201.3549,226.1537,205.5830
2488.24565906,26504.867333,0.6941718, 68.1335,200.8342,225.9191,217.5441
2490.73843487,26504.291697,0.6941891, 68.1362,200.6016,225.8085,223.0811
2492.23413239,26504.053674,0.6942133, 68.1436,200.4657,225.7419,226.4475
2494.72695821,26503.453437,0.6943617, 68.1604,200.2414,225.6308,232.0775
2496.22271308,26503.242282,0.6945081, 68.1667,200.1039,225.5664,235.5105
2504.69885342,26502.258979,0.6949431, 68.1666,199.3018,225.1966,255.3712
2506.19461116,26502.142041,0.6949931, 68.1742,199.1650,225.1301,258.8804
2511.18046935,26501.798558,0.6953960, 68.1948,198.7060,224.9096,270.5630
2515.16991302,26501.836854,0.6956892, 68.1895,198.3262,224.7353,280.4537
2517.66313645,26501.892915,0.6957656, 68.1901,198.0924,224.6228,286.5032
2522.15009951,26501.663218,0.6960540, 68.2157,197.6860,224.4232,296.7084
2524.14477375,26501.603112,0.6963088, 68.2218,197.5008,224.3382,301.5372
2528.13423614,26501.560107,0.6966913, 68.2119,197.1158,224.1695,311.2305
2530.12912453,26501.339107,0.6967715, 68.2093,196.9248,224.0828,316.1701
2532.12281151,26501.052539,0.6968425, 68.2139,196.7382,223.9948,320.2149
2533.12008211,26500.808023,0.6968917, 68.2184,196.6460,223.9508,322.5345
2536.11205467,26499.903646,0.6971328, 68.2323,196.3691,223.8203,329.5551
2540.10335936,26500.136783,0.6975371, 68.2329,195.9866,223.6444,340.2632
2542.09825179,26505.626086,0.6977239, 68.2274,195.7913,223.5489,345.0387
2546.08789402,26551.815581,0.6984317, 68.2289,195.4108,223.3636,354.4187
2559.05286234,26511.840614,0.6992764, 68.2149,194.1346,222.8131, 22.8491
2562.04612196,26513.688100,0.6994961, 68.2239,193.8517,222.6906, 30.1805
2565.03888919,26514.081405,0.6998381, 68.2255,193.5643,222.5690, 37.0596
2570.03296516,26514.142316,0.7002900, 68.1998,193.0681,222.3654, 52.8140
2576.01869723,26514.819642,0.7006273, 68.1998,192.4917,222.1125, 66.3006
2578.01546036,26515.092843,0.7008762, 68.2019,192.2999,222.0325, 71.8164
2582.00276294,26515.405078,0.7013559, 68.1776,191.8968,221.8765, 78.2722
2584.00013757,26515.465587,0.7014605, 68.1639,191.6938,221.7944, 84.1823
2586.98896714,26515.816942,0.7015715, 68.1605,191.3994,221.6680, 87.7768
2588.98408633,26516.059424,0.7017109, 68.1642,191.2067,221.5849, 91.9957
2596.97019428,26516.188355,0.7024155, 68.1309,190.4047,221.2653,112.7928
2602.95733403,26516.332473,0.7026176, 68.1282,189.8159,221.0140,126.5939
2607.94699266,26516.168086,0.7031264, 68.1170,189.3173,220.8185,138.3107
2611.93881035,26515.732086,0.7032798, 68.0919,188.9063,220.6540,147.8221
2614.93259272,26515.630833,0.7033447, 68.0967,188.6124,220.5246,154.9225
2617.92791109,26515.456034,0.7035615, 68.1042,188.3200,220.4004,163.1306
2619.92392463,26515.233791,0.7037420, 68.1005,188.1196,220.3202,167.9871
2621.92062000,26514.947309,0.7038835, 68.0904,187.9152,220.2396,173.3599
