Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2663.35650993,26510.665467,0.7058919, 68.1361,183.8239,218.4907,264.8952
2665.35376728,26510.240252,0.7059559, 68.1335,183.6217,218.4041,271.0097
2667.35117037,26509.701283,0.7059841, 68.1410,183.4257,218.3139,277.2690
2669.34861613,26509.026499,0.7060576, 68.1581,183.2352,218.2245,283.5828
2671.34611019,26508.283493,0.7062168, 68.1761,183.0447,218.1392,289.9485
2673.34367879,26507.538460,0.7064291, 68.1866,182.8495,218.0575,296.3931
2675.34126170,26506.770282,0.7066269, 68.1880,182.6488,217.9764,302.8871
2681.33428683,26503.024534,0.7068572, 68.1947,182.0490,217.7159,322.8518
2683.33192506,26500.720417,0.7069167, 68.2122,181.8576,217.6271,329.5501
2685.32954203,26497.951708,0.7070475, 68.2315,181.6656,217.5412,336.2526
2687.32720106,26497.182958,0.7072445, 68.2432,181.4671,217.4533,343.0142
2689.32527508,26516.421421,0.7076292, 68.2457,181.2609,217.3485,350.1325
2691.32326706,26555.257879,0.7082532, 68.2417,181.0545,217.2837,357.2283
2693.32112561,26434.654733,0.7070545, 68.2314,180.8407,217.1732,  4.2884
2695.31906122,26475.080037,0.7076789, 68.2423,180.6304,217.0499, 11.4284
2696.81737906,26496.351221,0.7080028, 68.2576,180.4826,216.9967, 16.6796
2696.81745068,26496.473162,0.7080039, 68.2577,180.4826,216.9968, 16.7313
2699.31500518,26505.090697,0.7083287, 68.2782,180.2383,216.9046, 25.7721
2701.31288811,26505.620366,0.7085734, 68.2831,180.0379,216.8258, 32.9154
2703.31109802,26505.262272,0.7087810, 68.2788,179.8328,216.7434, 40.3272
2707.30688058,26504.308887,0.7090114, 68.2706,179.4241,216.5646, 54.7804
2709.30472536,26503.983817,0.7090954, 68.2777,179.2265,216.4717, 61.9945
2710.80345550,26503.824343,0.7091932, 68.2877,179.0810,216.4026, 67.6509
2712.30201446,26503.813808,0.7093418, 68.2978,178.9352,216.3386, 73.1729
2714.30014075,26503.817078,0.7096097, 68.3039,178.7362,216.2569, 80.5542
2716.29840262,26503.765869,0.7098844, 68.2966,178.5291,216.1767, 88.0291
2721.29333943,26503.802920,0.7102380, 68.2741,178.0081,215.9555,106.2232
2723.29138870,26504.092629,0.7103597, 68.2819,177.8092,215.8640,113.5263
2725.28956341,26504.438146,0.7105597, 68.2916,177.6113,215.7774,120.8805
2727.28744321,26504.709908,0.7108211, 68.2935,177.4089,215.6957,127.9853
2729.28546134,26504.870542,0.7110797, 68.2844,177.2000,215.6153,135.1692
2731.28347708,26504.984662,0.7112775, 68.2692,176.9874,215.5323,142.3415
2735.27932095,26505.409632,0.7114856, 68.2507,176.5686,215.3546,156.5122
2737.27699917,26505.775296,0.7115847, 68.2541,176.3663,215.2646,163.3791
2739.27473376,26506.182975,0.7117502, 68.2607,176.1657,215.1790,170.2434
2740.77300943,26506.569549,0.7119292, 68.2617,176.0130,215.1184,175.3446
2743.76958711,26506.899472,0.7123144, 68.2427,175.6942,215.0026,185.5204
2745.26789303,26506.917397,0.7124451, 68.2268,175.5306,214.9412,190.6149
2746.76607569,26507.206517,0.7125243, 68.2135,175.3686,214.8750,195.6170
2748.76357434,26507.569107,0.7125933, 68.2082,175.1594,214.7832,202.2083
2750.76112806,26507.986238,0.7127059, 68.2133,174.9561,214.6933,208.7934
2752.25927177,26508.210691,0.7128407, 68.2174,174.8035,214.6296,213.6813
2756.25426588,26508.960933,0.7132907, 68.2011,174.3809,214.4703,226.5620
2759.25020066,26509.581794,0.7135011, 68.1721,174.0542,214.3452,235.9350
2760.74832559,26509.935451,0.7135512, 68.1612,173.8929,214.2789,240.7160
2762.24608809,26510.246540,0.7135818, 68.1558,173.7346,214.2106,245.2152
2768.23744247,26511.350022,0.7139400, 68.1601,173.1146,213.9560,263.1468
2769.73525835,26511.586544,0.7141009, 68.1521,172.9537,213.8995,267.5455
2770.73381186,26511.780695,0.7141989, 68.1428,172.8441,213.8614,270.4775
2772.23159808,26512.139293,0.7143072, 68.1257,172.6780,213.8010,274.8385
2774.22860485,26512.542320,0.7143698, 68.1077,172.4592,213.7133,280.6156
2775.72628405,26512.684996,0.7143898, 68.1042,172.3006,213.6446,284.8773
2777.22383479,26512.815459,0.7144312, 68.1082,172.1463,213.5764,289.0191
2821.14403692,26517.823349,0.7164015, 68.1086,167.4534,211.6792, 40.4740
2836.11187311,26515.487759,0.7171884, 68.1614,165.8831,211.0445, 75.1701
2840.10335744,26514.662992,0.7174625, 68.1535,165.4523,210.8811, 84.6390
2844.09465105,26513.853727,0.7175311, 68.1629,165.0303,210.6972, 94.1265
2981.72726949,26517.593544,0.7244595, 68.0524,149.8925,204.6881, 41.6014
2987.70927937,26517.871677,0.7246784, 68.0771,149.2350,204.4428, 51.4337
3017.11822151,26516.613097,0.7255826, 68.1740,145.9844,203.1823, 97.7737
3028.08329867,26515.340435,0.7259926, 68.2340,144.7793,202.7274,114.8741
3030.07688469,26514.907657,0.7260556, 68.2237,144.5513,202.6445,118.0099
3033.06721600,26514.391703,0.7260969, 68.2271,144.2165,202.5071,122.7546
3036.05707391,26514.035822,0.7261451, 68.2526,143.8907,202.3721,127.1951
3038.05046277,26513.810368,0.7262053, 68.2706,143.6740,202.2905,130.2709
3040.04392520,26513.505007,0.7262857, 68.2793,143.4537,202.2154,133.4118
3043.03412100,26512.800253,0.7264035, 68.2683,143.1131,202.1032,138.1880
3045.02760706,26512.242574,0.7264515, 68.2549,142.8831,202.0194,141.4570
3048.01755733,26511.639364,0.7264865, 68.2583,142.5469,201.8804,146.2511
3054.99425887,26510.391911,0.7267741, 68.2838,141.7708,201.6152,157.6479
3059.97721326,26508.937938,0.7268604, 68.2533,141.1951,201.3980,165.8630
3060.97383305,26508.737582,0.7268678, 68.2557,141.0832,201.3517,167.5594
3062.96699050,26508.382366,0.7268912, 68.2658,140.8614,201.2619,170.9089
3066.45484946,26507.813727,0.7269746, 68.2779,140.4715,201.1208,176.6949
3068.44784958,26507.285852,0.7270355, 68.2692,140.2427,201.0464,179.9987
3070.93937983,26506.331859,0.7270927, 68.2431,139.9503,200.9474,184.4135
3074.92544051,26505.202677,0.7271173, 68.2230,139.4893,200.7599,191.4070
3076.91828591,26504.939611,0.7271435, 68.2369,139.2680,200.6680,194.8123
3087.87906887,26502.608564,0.7273510, 68.1761,138.0000,200.1977,214.1846
3091.86443559,26502.474710,0.7273863, 68.1850,137.5499,200.0095,221.1662
3093.85712224,26502.480760,0.7274238, 68.1826,137.3225,199.9250,224.6451
3095.84951705,26502.480468,0.7274644, 68.1671,137.0904,199.8435,227.9105
3101.82683580,26502.778685,0.7275101, 68.1101,136.3881,199.5587,237.8801
3104.81540266,26503.384363,0.7275548, 68.1275,136.0536,199.4174,242.7125
3116.27123623,26505.140570,0.7277075, 68.0603,134.7225,198.9035,260.3970
3117.76529755,26505.518470,0.7277242, 68.0659,134.5540,198.8317,262.5100
3121.74940266,26506.103635,0.7277836, 68.0686,134.0999,198.6604,267.9869
3189.95124920,26512.553037,0.7283604, 68.1783,126.3407,195.6689,324.9049
3195.92166914,26512.241375,0.7283340, 68.1669,125.6562,195.4069,326.3508
3206.86877189,26509.921229,0.7282565, 68.2003,124.4185,194.9653,329.9949
3214.82903921,26507.530501,0.7281789, 68.2437,123.5235,194.6261,332.0482
3217.81629949,26505.801491,0.7280929, 68.2270,123.1781,194.5274,334.3834
3224.78285828,26502.071780,0.7279622, 68.2132,122.3794,194.2192,337.5482
3229.75945237,26497.720626,0.7278407, 68.2307,121.8164,194.0226,340.2499
3237.72301331,26487.777963,0.7275421, 68.1819,120.8913,193.6817,345.7554
3242.70054932,26483.653862,0.7273564, 68.2137,120.3275,193.4720,349.6123
3258.62855708,26491.049387,0.7270133, 68.1520,118.4794,192.8046,  3.4636
